Formal Name,Course Name,Prerequisites,Corequisites,Requirement
PLAN 6306,URBAN REVITALIZATION,[None],[None],required
PLAN 6307,URBAN GEOGRAPHY,[None],[None],required
PLAN 6308,METROPOLITAN SUSTAINABILITY AND PLAN MAKING,[None],[None],required
PLAN 6309,TRANSPORTATION/LAND USE MODELING AND POLICY ANALYSIS,[None],[None],required
PLAN 6310,"PLANNING, URBAN DEVELOPMENT AND STRUCTURE",[None],[None],required
PLAN 6311,SPATIAL THEORY AND POLICY: URBAN FORM AND STRUCTURE,[None],[None],required
PLAN 6313,URBAN GROWTH POLICIES,[None],[None],required
PLAN 6315,"LAND USE, MANAGEMENT AND DEVELOPMENT",[None],[None],required
PLAN 6317,INTERMEDIATE DATA ANALYSIS,['PAPP 5302'],[None],required
PLAN 6318,TECHNIQUES OF PLANNING ANALYSIS I,[None],[None],required
PLAN 6321,ELEMENTS OF URBAN DESIGN,[None],[None],required
PLAN 6322,ECONOMIC DEVELOPMENT PLANNING AND POLICY,[None],[None],required
PLAN 6324,COMMUNITY DEVELOPMENT,[None],[None],required
PLAN 6325,"TRANSPORTATION POLICIES, PROGRAMS AND HISTORY",[None],[None],required
PLAN 6326,PHYSICAL PLANNING AND URBAN DESIGN,[None],[None],required
PLAN 6327,GREEN CITIES AND TRANSPORTATION,[None],[None],required
PLAN 6330,TECHNIQUES OF PLANNING ANALYSIS II,[None],[None],required
PLAN 6331,GIS WORKSHOP,['PLAN 6357'],[None],required
PLAN 6340,GIS AND SUITABILITY ANALYSIS,[None],[None],required
PLAN 6345,PLANNING AND REAL ESTATE DEVELOPMENT,[None],[None],required
PLAN 6346,ADVANCED DATA ANALYSIS IN URBAN AND PUBLIC AFFAIRS,[None],[None],required
PLAN 6347,QUALITATIVE METHODS,[None],[None],required
PLAN 6350,ENVIRONMENTAL PLANNING,[None],[None],required
PLAN 6357,INTERMEDIATE GEOGRAPHIC INFORMATION SYSTEMS,['PLAN 5356'],[None],required
PLAN 6358,INTELLIGENT TRANSPORTATION SYSTEMS (ITS) AND PLANNING,[None],[None],required
PLAN 6361,TEACHING INTERNSHIP,[None],[None],required
PLAN 6399,DISSERTATION,[None],[None],required
PLAN 6691,CONFERENCE COURSE,[None],[None],required
PLAN 6699,DISSERTATION,[None],[None],required
PLAN 6999,DISSERTATION,[None],[None],required
PLAN 7399,DOCTORAL DEGREE COMPLETION,[None],[None],required
